                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,       train/shift_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,         val/shift_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3943,                 2.2841,                 7.7609,                0.27848,                0.71468,                0.59347,                0.68877,                0.37659,                 1.8049,                 1.7907,                  6.282,                      0,                0.07006,              0.0033267,              0.0033267
                      2,                 1.6834,                  1.357,                 5.7233,                0.01266,                0.80374,                0.72464,                 0.8086,                0.51907,                 1.5004,                 1.3069,                 5.2853,                      0,               0.040005,              0.0066051,              0.0066051
                      3,                 1.5579,                  1.182,                 5.2751,                0.00332,                0.71683,                0.69477,                0.71975,                0.43082,                 1.4112,                  1.396,                 5.0293,                      0,              0.0098949,              0.0098285,              0.0098285
                      4,                 1.4668,                 0.9962,                 4.9967,                0.00206,                0.88869,                0.75006,                0.86202,                0.54481,                 1.4432,                 1.1016,                  5.029,                      0,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.4056,                0.89725,                 4.8208,                0.00192,                0.87764,                0.74344,                 0.8561,                0.56993,                 1.3712,                 1.0189,                 4.8722,                      0,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.3667,                0.83871,                 4.7103,                 0.0019,                 0.8931,                0.76138,                0.87595,                0.57109,                 1.3868,                0.94591,                 4.8572,                      0,                0.00967,                0.00967,                0.00967
                      7,                 1.3354,                0.79624,                 4.6233,                0.00189,                0.89018,                0.80619,                 0.9013,                0.60457,                 1.3245,                0.82247,                 4.6948,                      0,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.3147,                0.76526,                   4.56,                0.00181,                0.86394,                0.76512,                0.86168,                0.56796,                 1.3982,                0.95566,                 4.8656,                      0,               0.009505,               0.009505,               0.009505
                      9,                 1.2949,                0.74668,                 4.5117,                0.00182,                0.87985,                 0.8145,                0.89478,                0.60254,                 1.3273,                0.83287,                 4.6922,                      0,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.2813,                0.73461,                 4.4626,                 0.0018,                0.91069,                0.84499,                 0.9159,                 0.6219,                 1.3094,                0.77381,                 4.6427,                      0,                0.00934,                0.00934,                0.00934
                     11,                 1.2665,                0.71133,                 4.4179,                0.00179,                0.90645,                0.79367,                0.89695,                 0.6075,                 1.3173,                0.81326,                 4.6711,                      0,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.2568,                0.69719,                 4.3781,                0.00176,                0.92488,                0.82308,                0.91235,                0.62391,                 1.3042,                 0.7696,                 4.5786,                      0,               0.009175,               0.009175,               0.009175
                     13,                 1.2415,                0.68675,                 4.3312,                0.00173,                0.92372,                0.85088,                0.92227,                0.64648,                   1.25,                0.73156,                 4.5135,                      0,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.2279,                0.67138,                 4.3022,                0.00168,                0.92557,                0.81185,                0.90099,                0.62987,                 1.2983,                0.78252,                 4.5948,                      0,                0.00901,                0.00901,                0.00901
                     15,                 1.2262,                0.66636,                 4.2726,                 0.0017,                0.89014,                0.81065,                0.89413,                0.60551,                 1.3681,                0.81458,                 4.7196,                      0,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.1881,                0.64451,                 4.2031,                0.00531,                0.91531,                0.83445,                0.91558,                0.63135,                 1.3025,                0.73297,                  4.625,                      0,               0.008845,               0.008845,               0.008845
                     17,                 1.1777,                0.63698,                  4.171,                0.00448,                0.90679,                0.82266,                0.90474,                0.61278,                 1.3622,                0.77055,                 4.7361,                      0,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.1659,                0.62713,                 4.1302,                0.00424,                0.91136,                0.80282,                0.89607,                0.62423,                 1.2909,                0.77382,                  4.595,                      0,                0.00868,                0.00868,                0.00868
                     19,                 1.1641,                0.62369,                 4.1212,                0.00428,                0.88806,                0.79378,                0.88176,                0.60412,                  1.365,                0.83088,                 4.7611,                      0,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.1512,                0.61338,                 4.0834,                0.00387,                0.92303,                0.85081,                0.92259,                0.64981,                 1.2347,                0.68644,                 4.4547,                      0,               0.008515,               0.008515,               0.008515
